Blog	kids	catchy	therefore	absolute	travel	wrong	fit	songwriter	service	needed	feeling	mouth	singer	saying	rich	lots	nature	dave	split	golden	shadow	crowd	begin	bottom	role	roll	minute	working	originally	following	pulled	didn	seriously	internet	emotion	turned	west	wants	formed	photos	former	ascii	pull	small	past	hasn	full	november	experience	followed	door	company	learn	huge	scott	self	singles	sometimes	parents	couple	chorus	influence	train	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	compared	lately	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	tone	apparently	hand	musical	thanks	born	concept	turns	guy	extra	kurt	ended	non	drop	yeah	tomorrow	caught	vocals	america	death	verse	gonna	exciting	start	stars	poor	month	streets	learned	tracks	inspired	put	almost	evening	heavy	american	grey	feels	culture	close	pictures	missing	forgotten	empty	lived	lives	match	grand	obviously	popular	lips	similar	e	wave	telling	michael	ryan	camera	meet	including	special	cause	times	tunes	tend	key	hits	tuesday	party	http	riff	lost	lose	school	north	star	stay	sorry	likely	men	met	fantastic	under	room	movies	amazing	third	personal	begins	ears	tiny	seven	yes	yet	save	deal	somehow	dear	magazine	journey	weekend	happening	father	round	filled	box	boy	bob	teenage	visit	making	fuck	interesting	speaking	performance	morning	miles	wonder	label	enough	across	august	tour	wake	adams	images	each	u	sitting	hour	remain	needs	acts	coming	beginning	valentine	point	century	cut	absolutely	epic	planet	entire	talent	later	closing	vibe	nobody	success	hair	happens	blue	leaves	excellent	drummer	alex	saturday	laid	bridge	mother	despite	hopefully	however	news	n	gave	stuck	setting	picture	clouds	impressive	level	posts	goes	figure	turn	surf	sure	jazz	guitar	quiet	featuring	direction	spirit	case	mood	moon	taste	list	sun	version	flat	rather	short	weight	hill	friday	story	store	king	kind	electric	traditional	wrote	solo	sold	sweet	kick	questions	range	andy	nick	nice	meaning	include	melodies	folk	leaving	holiday	edit	g	why	fear	feat	local	available	bought	opening	joy	job	joe	april	perhaps	difficult	press	rare	promise	volume	incredible	yellow	straight	successful	hurt	machine	keeps	wind	wasn	listen	released	copy	theme	unfortunately	fair	score	child	possible	possibly	unique	steps	happy	exist	team	current	bloody	winter	spot	date	future	twin	breath	industry	act	image	gone	andrew	original	section	hours	pick	action	keeping	beautiful	states	sense	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	somewhat	set	sex	whole	community	synth	fire	funk	recent	makes	anything	link	line	sides	hello	results	sent	bird	led	doubt	animal	kiss	david	hope	edition	drum	co	cd	colour	moments	stage	sister	naturally	official	francisco	near	green	somewhere	brief	dj	de	dr	com	voice	rain	kept	fight	minor	physical	together	p	appears	change	december	means	remember	cold	half	hall	el	en	ep	space	shows	impossible	size	sheer	friend	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	describe	moved	strong	ahead	musically	finally	fi	food	fully	neil	robert	since	bass	ask	jamie	towards	pretty	during	won	genre	liked	wait	else	anymore	used	march	run	seeing	himself
Karl Drinkwater	0	0	2	0	1	1	2	0	0	0	1	2	0	2	0	7	0	0	0	0	0	0	1	2	0	0	2	8	2	0	0	8	0	1	3	3	0	0	0	1	0	0	0	3	6	1	8	4	5	1	1	1	9	4	1	6	0	15	0	0	0	0	5	0	3	0	0	0	27	4	6	3	2	1	0	0	1	3	3	4	0	0	5	2	0	0	1	0	0	1	2	4	1	2	0	1	0	3	0	0	0	0	6	0	1	1	2	0	0	0	0	0	6	0	0	0	5	0	0	5	0	2	0	0	7	0	5	0	1	1	1	0	1	0	0	1	1	1	1	3	1	1	2	0	2	12	0	5	0	0	0	1	8	0	0	4	11	6	3	1	0	2	0	0	4	2	4	0	0	3	2	1	0	1	2	3	4	2	1	1	8	0	0	0	1	4	7	1	0	0	0	1	5	0	0	2	1	1	2	0	0	0	3	14	0	6	0	2	3	0	1	0	5	3	0	0	1	0	1	12	0	0	6	0	1	0	3	0	0	3	0	2	0	0	1	0	0	3	0	0	0	1	0	0	0	0	2	0	4	0	0	0	0	6	3	4	1	1	3	2	5	0	1	1	0	2	2	0	4	0	5	0	4	1	0	0	3	7	0	0	0	3	0	6	0	8	18	0	0	0	29	0	5	5	0	0	7	0	0	0	0	5	1	0	3	2	4	4	0	0	2	1	7	7	3	4	0	0	3	0	0	0	4	0	0	2	1	0	1	0	0	1	0	0	3	0	1	2	1	9	0	1	2	0	1	0	2	4	6	2	0	0	4	2	1	1	2	1	5	3	9	0	0	1	0	4	1	0	0	2	5	1	0	2	0	0	0	2	7	0	1	0	4	0	1	0	2	4	1	2	1	18	0	4	0	0	1	0	2	8	3	2	1	0	3	6	0	0	3	3	5	0	8	3	0	0	0	2	0	0	0	0	0	0	0	2	3	2	1	0	0	0	1	6	1	3	0	1	1	8	0	0	7	0	4	2	8	0	1	0	0	0	1	1	0	0	2	0	2	0	0	3	1	1	2	3	27	0	0	2	1	1	4	0	1	0	1	0	3	1	0	1	9	1	4	0	1	4	6	4	4	0	0	4	0	18	3	5	0	1
mouxlaloulouda	0	0	0	1	0	0	2	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	3	0	0	1	2	0	1	0	1	1	0	0	5	0	2	1	0	0	0	0	0	4	0	2	0	2	0	0	0	0	2	0	6	0	0	0	4	0	0	0	1	3	1	2	0	0	1	0	0	2	1	1	0	2	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	1	1	0	2	0	0	8	2	0	1	0	0	1	0	1	0	2	0	1	0	0	0	2	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	4	0	0	1	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	2	1	0	1	0	0	1	1	0	1	0	0	2	3	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	6	0	0	0	0	0	2	1	0	2	0	0	0	1	1	3	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	4	0	1	0	0	0	0	0	0	2	0	3	2	2	0	1	0	1	0	0	2	2	0	1	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	3	0	0	2	0	1	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	1	1	3	0	2	0	1	0	0	1	1	2	0	0	0	0	1	0	0	1	0	0	3	3	2	0	0	1	0	2	0	2	0	0	2	4	2	0	1	0	2	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	5	1	4	4	2	0	0	0	0	0	0	0	1	0	1	2	1	0	0	2	0	0	0	0	1	0	0	0	2	1	0	1	0	3	3	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	1
If You Give a Girl a Camera...	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I/LOVE/TOTAL/DESTRUCTION	0	1	0	1	0	0	1	0	0	2	3	0	2	2	3	2	1	3	2	0	0	3	0	1	0	1	0	1	3	11	0	11	0	0	0	3	5	0	6	0	3	0	0	4	2	2	1	4	1	2	5	3	0	1	0	1	3	2	0	6	0	1	3	1	0	0	2	0	2	0	3	0	0	1	0	4	2	3	4	0	0	1	1	1	7	1	0	3	2	2	13	0	1	1	3	2	4	1	0	0	0	0	0	0	2	2	1	0	2	0	4	1	3	0	0	2	1	0	1	3	1	1	4	3	2	4	2	0	0	5	0	1	4	0	2	2	2	4	0	1	0	2	2	1	3	7	5	0	4	0	0	1	2	0	0	2	6	0	0	1	0	3	0	0	2	0	5	1	3	2	2	1	1	4	0	4	5	0	0	0	1	1	0	0	0	0	1	0	2	1	0	2	1	0	1	0	2	0	1	1	3	0	0	4	1	1	0	7	0	0	0	12	2	1	1	8	5	0	1	0	4	0	3	2	0	1	2	2	0	7	3	5	3	0	0	2	0	8	0	0	2	1	1	1	3	0	1	1	1	2	0	0	1	0	0	1	1	5	1	0	0	0	2	1	0	0	2	0	2	0	3	4	13	1	2	1	0	0	1	2	0	13	0	3	0	3	3	0	1	0	0	4	3	2	3	0	1	0	3	0	0	1	0	6	1	3	0	2	2	1	0	0	0	4	2	0	0	3	2	1	1	5	0	1	2	7	4	2	0	0	3	0	0	0	0	0	7	1	1	5	7	12	3	0	1	0	0	1	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	5	0	2	4	1	3	0	4	2	0	1	1	0	2	2	2	1	1	1	1	3	0	0	0	8	0	4	3	25	3	2	0	2	4	1	2	2	4	3	8	1	1	0	3	0	5	4	0	0	3	1	1	2	7	4	1	1	4	0	1	3	4	2	1	0	1	0	2	0	0	2	0	0	0	1	0	2	3	2	3	6	1	5	0	3	7	1	1	6	4	3	2	0	1	4	0	1	0	1	0	0	0	3	5	0	17	1	0	0	1	2	0	2	3	0	1	0	1	11	10	7	0	0	1	3	7	0	0	8	0	6	3	5	2	0	3	1
In the Frame Film Reviews	5	2	0	5	18	10	36	0	0	4	26	11	2	7	0	0	6	0	3	2	0	1	3	9	1	0	3	2	2	3	6	39	0	1	0	7	21	15	4	0	0	0	10	2	7	2	19	1	5	3	4	1	3	9	1	3	4	12	1	16	3	3	2	2	1	2	26	2	4	2	4	3	15	0	2	10	1	3	19	5	4	0	0	8	1	0	1	1	0	0	5	2	3	2	0	1	2	13	3	3	3	5	1	2	0	0	2	28	3	5	32	0	7	18	49	6	25	22	3	1	0	3	17	1	14	42	2	1	0	19	26	0	18	0	3	0	1	2	60	4	0	6	0	5	1	1	3	2	2	0	1	2	4	1	16	29	0	2	2	0	0	10	0	2	15	1	5	0	1	2	6	1	2	3	3	4	19	5	0	6	2	0	1	17	6	5	5	3	4	11	0	0	11	5	0	2	21	8	16	16	2	0	0	9	14	3	0	14	3	4	13	1	41	2	0	5	7	0	0	21	0	5	4	1	7	0	7	9	0	21	1	28	3	2	21	6	1	1	29	3	0	0	7	2	3	1	4	1	0	1	10	1	2	2	0	20	32	1	13	2	0	3	2	1	3	1	18	7	5	2	40	0	40	4	2	2	2	4	21	37	3	24	17	30	11	3	4	1	0	1	21	11	17	8	1	1	3	1	6	1	1	1	2	1	0	18	6	15	0	0	1	0	10	0	33	5	0	0	2	2	25	10	12	0	0	9	4	1	1	4	3	11	15	4	0	1	0	2	3	25	23	13	0	8	0	3	3	4	3	2	5	1	7	11	0	1	0	12	13	1	5	2	3	0	1	3	7	0	9	4	5	3	5	1	4	0	8	2	2	19	8	1	14	5	3	0	22	20	2	0	4	10	2	23	0	0	34	0	2	21	21	2	38	2	0	2	1	5	2	6	1	2	8	31	2	2	1	2	0	1	1	3	4	4	0	3	2	6	0	0	1	0	1	2	2	3	2	0	0	31	0	4	12	0	7	29	21	19	15	0	11	1	27	10	7	16	3	11	2	27	33	7	1	11	4	39	6	0	3	3	19	3	8	3	7	1	12	0	2	4	1	0	7	14	2	0	4	33	6	15	1	1	4	6	0	11	15	14	6	3
ΜΕΣΑ ΣΤΗ ΒΡΩΜΙΑ	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	21	0	1	9	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	7	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	2	0	0	0	5	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	3	0	0	0	0	2	0	0	0	2	0	0	0	1	1	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	1	0	4	0	0	1	1	2	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
F-Measure	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	3	0	0	1	0	1	0	2	1	0	0	1	0	5	0	1	0	3	1	0	0	0	2	0	0	2	2	0	6	0	3	0	0	0	1	0	1	0	0	0	0	2	1	1	0	0	0	0	2	5	1	1	0	2	0	4	1	1	4	0	0	1	0	0	0	1	1	2	0	0	1	0	2	0	0	2	5	1	0	1	1	0	1	1	0	0	1	2	1	0	1	0	3	0	2	0	1	0	2	8	0	1	0	1	1	2	0	2	0	5	4	0	0	1	1	0	1	12	0	1	0	0	0	3	8	0	0	2	2	0	1	0	0	0	3	0	0	2	0	0	0	1	0	2	0	0	1	1	4	0	1	2	0	1	0	0	0	0	1	1	1	1	0	0	0	3	3	2	4	0	0	1	0	0	0	6	1	1	0	0	3	1	1	0	0	2	1	2	0	2	1	1	4	5	9	0	0	2	0	0	0	3	0	0	3	0	0	0	1	0	0	2	0	0	1	0	0	2	0	9	0	0	0	3	0	0	1	2	2	1	0	1	0	0	1	4	0	1	0	2	0	0	0	2	0	0	0	1	1	2	2	1	6	0	3	0	6	0	0	2	0	1	2	4	5	8	0	1	1	0	0	1	5	0	0	2	0	0	2	2	0	2	4	0	0	2	0	1	3	1	0	2	1	0	0	1	6	1	0	2	2	0	0	4	0	1	0	3	0	0	1	0	0	0	0	0	0	0	3	0	1	5	2	8	1	5	2	0	8	0	3	1	2	0	2	0	1	0	0	0	1	0	1	1	0	0	2	1	3	0	4	0	0	0	0	1	2	0	0	0	4	2	1	1	0	0	1	0	13	1	1	5	0	3	0	2	0	0	0	5	1	1	3	3	1	1	0	0	1	0	0	0	0	0	5	0	0	3	1	2	0	2	1	2	0	3	1	0	1	0	0	0	1	1	0	0	10	0	0	3	0	4	1	2	5	0	1	8	0	1	0	0	0	5	3	0	0	4	0	3	4	0	12	5	0	0	2	1	1	0	5	6	4	2	1	1	0	0	4	1	0	1	0	1	3	1	0	0	0	11	1	6	1	1	0	1	0	2	0	2	0	1
Cherry Area	0	0	0	0	0	0	0	0	0	3	3	0	1	2	1	0	3	1	0	0	0	0	0	0	0	0	0	3	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	3	0	0	2	0	2	0	2	0	0	0	0	2	0	6	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	2	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	6	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	2	7	3	0	0	3	0	0	1	1	0	3	2	2	0	2	1	0	0	0	2	1	0	0	1	0	1	0	0	0	0	2	0	1	3	3	1	0	0	0	1	2	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	2	0	1	0	1	0	0	1	0	0	0	0	1	1	1	2	0	0	1	0	0	0	1	0	3	0	0	0	1	1	0	0	0	0	1	0	1	0	3	1	0	2	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	4	0	1	3	0	0	0	0	4	0	0	0	1	0	1	1	0	1	0	1	0	0	0	2	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	1	0	1	0	0	0	0	5	1	1	4	1	2	0	1	2	1	0	5	0	1	1	1	1	1	3	0	0	0	0	1	1	0	0	0	0	1	0	0	1	4	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	2	0	0	0	4	0	0	1	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	1	0	1	2	0	5	1	1	0	1	1	2	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	3	3	2	1	0	1	0	1	0	0	0	1	0	1	4	3	0	1	3	0	0	0	2	2	2	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	1	3	4	0	0	0	0	0	0	3	3	0	1	1	1	0	0	1	1	0	0	0	0	2	0	0	1	1	2	0	1	3	4	2	1	0	1	7	0	1	0	0	1	2
Δίσκοι Μουσικής στο Χρόνο	1	0	0	2	0	0	0	0	2	0	2	2	1	0	2	0	2	1	1	5	3	1	0	16	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	1	0	2	0	4	0	0	0	3	0	0	0	0	0	1	0	1	7	1	0	2	0	0	0	1	29	23	0	0	1	0	1	3	0	0	0	0	0	1	0	0	3	2	0	34	6	0	0	0	0	0	0	2	0	1	0	0	4	0	0	0	2	2	0	1	1	43	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	4	4	1	2	0	2	2	1	2	0	1	0	1	0	0	1	0	4	4	0	16	1	4	1	0	2	0	18	0	0	1	0	0	1	0	0	7	2	1	6	3	1	0	0	11	0	1	1	2	0	0	1	0	0	0	0	0	18	0	1	0	0	2	0	0	1	0	1	0	0	1	7	4	2	0	1	2	0	0	0	3	2	3	0	0	0	0	1	2	1	2	1	2	0	3	0	0	1	1	0	2	3	0	2	0	0	4	0	0	0	0	15	0	0	0	1	11	1	0	0	5	1	1	1	3	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	18	0	0	14	0	0	0	0	0	2	0	4	1	13	1	6	0	0	0	0	6	2	0	0	1	24	1	0	0	1	0	2	0	0	36	0	0	0	5	0	0	0	0	0	6	1	0	0	0	0	1	12	0	2	1	0	1	2	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	2	0	0	2	3	0	0	0	6	3	2	0	2	1	3	3	0	2	1	0	0	0	3	0	3	1	2	0	1	1	0	1	0	3	0	0	0	0	0	1	5	0	0	0	7	1	0	2	1	1	0	0	0	0	0	0	2	0	4	7	20	0	2	0	0	0	4	0	23	0	0	0	0	1	3	0	0	3	8	1	0	1	2	0	1	0	0	0	3	0	1	0	1	0	2	1	7	2	3	1	5	0	2	48	0	2	0	1	0	0	0	0	2	4	0	1	0	2	0	0	0	1	0	0	0	2	0	0	3	3	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	2	0	0
the fast break of champions	0	0	2	1	0	0	0	0	0	1	0	2	0	2	0	1	0	1	0	2	0	0	0	0	0	1	0	1	0	2	0	4	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	7	0	1	0	0	0	2	1	0	1	1	0	0	1	2	0	0	0	0	8	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	2	6	0	1	0	1	1	0	0	0	0	1	5	0	0	1	0	2	1	5	3	2	0	0	0	0	0	0	0	8	1	0	0	0	0	1	0	2	0	2	1	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	1	0	0	1	1	2	0	2	0	0	1	0	0	6	0	2	0	2	0	0	2	6	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	5	0	2	0	2	0	0	0	2	0	0	0	0	0	1	2	4	0	0	0	2	0	1	0	0	4	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	9	0	2	0	0	1	3	2	0	2	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	2	0	1	4	0	0	0	4	0	1	1	0	0	0	10	3	0	0	0	0	2	0	0	1	3	0	1	0	0	0	1	0	1	0	0	2	0	1	2	0	0	2	0	3	0	0	1	1	0	1	10	0	0	0	0	4	0	1	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	2	0	1	2	0	2	7	0	0	1	1	1	0	0	0	0	2	0	5	3	0	10	1	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	2	0	0	0	0	0	0	1	7	2	0	0	1	2	0	1	1	0	0	0	1	0	2	0	2	2	1	1	1	0	0	0	0	5	0	1	0	0	3	0	5	3	1	0	3	5	0	0	1	0	1	0	1	1	0	1	0	0	0	1	0	0	3	0	2	0	0	4	1	2	0	0	1	0	0	5	0	1	0	2
The Moon Topples	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	2	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1
Encore	0	4	0	0	0	1	0	6	0	0	0	0	4	0	1	0	1	0	0	2	9	7	3	1	1	1	2	1	0	5	0	1	0	0	2	1	1	0	3	0	1	0	0	2	3	2	4	0	0	1	2	0	0	8	0	6	2	0	0	1	11	6	0	0	1	0	4	0	0	0	10	12	0	5	1	2	0	1	1	0	0	0	3	2	5	3	0	1	2	4	0	1	0	1	0	3	7	1	2	2	0	1	0	1	0	1	1	6	3	1	10	6	3	2	1	7	6	2	0	1	1	0	8	6	3	2	1	2	2	0	4	0	2	3	1	0	0	0	2	0	2	0	0	0	1	0	0	1	0	4	0	0	1	8	0	4	2	0	0	0	0	8	2	4	4	0	2	7	1	1	0	1	1	2	1	4	2	0	0	1	2	0	0	0	0	2	8	0	0	1	0	2	4	1	1	1	0	2	0	0	0	3	0	4	0	0	0	5	2	2	1	5	2	4	0	5	1	0	0	4	3	0	0	2	0	3	5	1	0	4	3	1	0	0	1	0	4	2	2	0	0	4	2	1	2	2	6	3	0	0	0	0	1	4	2	3	11	2	1	0	0	0	0	2	1	1	1	0	1	0	1	1	13	0	1	1	1	0	0	1	0	4	2	0	0	3	1	2	2	4	7	0	0	1	2	0	0	6	1	3	1	0	0	3	0	0	0	1	3	4	1	1	0	7	1	0	0	7	1	0	9	1	0	0	1	2	3	1	1	1	10	2	0	3	3	0	3	0	0	0	4	8	0	0	1	0	0	0	1	2	3	0	2	0	3	1	0	0	0	5	7	0	0	2	3	1	1	0	4	0	0	0	1	0	5	1	1	0	8	0	0	0	5	0	0	0	4	4	0	2	0	19	1	0	0	8	2	0	2	2	5	1	3	0	0	0	0	0	2	4	0	1	9	6	0	2	0	0	1	0	9	3	0	1	0	1	0	1	3	0	0	0	2	4	6	1	0	0	1	7	0	0	6	2	0	1	1	0	1	0	0	27	3	3	0	0	2	2	4	0	0	4	1	2	2	2	0	1	3	2	0	0	3	5	1	0	6	2	0	0	1	0	7	5	0	0	2	7	1	5	1	0	2	7	1	1	2	0	1	2
